Litostomes	ID	BioSample	Genome	GFF	RNA	CDS	Protein	RNA-Seq fwd	RNA-Seq rev
Acineria sp.1 P10K	P10K-MW-000067	SAMC2820634	https://download.cncb.ac.cn/gwh/Protists/Acineria_sp.1_P10K_P10K-MW-000067_GWHDPLP00000000/GWHDPLP00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Acineria_sp.1_P10K_P10K-MW-000067_GWHDPLP00000000/GWHDPLP00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Acineria_sp.1_P10K_P10K-MW-000067_GWHDPLP00000000/GWHDPLP00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Acineria_sp.1_P10K_P10K-MW-000067_GWHDPLP00000000/GWHDPLP00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Acineria_sp.1_P10K_P10K-MW-000067_GWHDPLP00000000/GWHDPLP00000000.Protein.faa.gz		
Amphileptus sp.1 P10K	P10K-MW-000131	SAMC2820698	https://download.cncb.ac.cn/gwh/Protists/Amphileptus_sp.1_P10K_P10K-MW-000131_GWHDPOB00000000/GWHDPOB00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptus_sp.1_P10K_P10K-MW-000131_GWHDPOB00000000/GWHDPOB00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptus_sp.1_P10K_P10K-MW-000131_GWHDPOB00000000/GWHDPOB00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptus_sp.1_P10K_P10K-MW-000131_GWHDPOB00000000/GWHDPOB00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptus_sp.1_P10K_P10K-MW-000131_GWHDPOB00000000/GWHDPOB00000000.Protein.faa.gz		
Loxophyllum sp.2 P10K	P10K-MW-000132	SAMC2820699	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.2_P10K_P10K-MW-000132_GWHDPOC00000000/GWHDPOC00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.2_P10K_P10K-MW-000132_GWHDPOC00000000/GWHDPOC00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.2_P10K_P10K-MW-000132_GWHDPOC00000000/GWHDPOC00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.2_P10K_P10K-MW-000132_GWHDPOC00000000/GWHDPOC00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.2_P10K_P10K-MW-000132_GWHDPOC00000000/GWHDPOC00000000.Protein.faa.gz		
Spathidium papilliferum strain P10K-1	P10K-MW-000139	SAMC2820706	https://download.cncb.ac.cn/gwh/Protists/Spathidium_papilliferum_strain_P10K-1_P10K-MW-000139_GWHDPOJ00000000/GWHDPOJ00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidium_papilliferum_strain_P10K-1_P10K-MW-000139_GWHDPOJ00000000/GWHDPOJ00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidium_papilliferum_strain_P10K-1_P10K-MW-000139_GWHDPOJ00000000/GWHDPOJ00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidium_papilliferum_strain_P10K-1_P10K-MW-000139_GWHDPOJ00000000/GWHDPOJ00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidium_papilliferum_strain_P10K-1_P10K-MW-000139_GWHDPOJ00000000/GWHDPOJ00000000.Protein.faa.gz		
Litonotus sp.2 P10K	P10K-MW-000204	SAMC2820771	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.2_P10K_P10K-MW-000204_GWHDPQW00000000/GWHDPQW00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.2_P10K_P10K-MW-000204_GWHDPQW00000000/GWHDPQW00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.2_P10K_P10K-MW-000204_GWHDPQW00000000/GWHDPQW00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.2_P10K_P10K-MW-000204_GWHDPQW00000000/GWHDPQW00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.2_P10K_P10K-MW-000204_GWHDPQW00000000/GWHDPQW00000000.Protein.faa.gz		
Litonotus sp.3 P10K	P10K-MW-000230	SAMC2820797	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.3_P10K_P10K-MW-000230_GWHDPRW00000000/GWHDPRW00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.3_P10K_P10K-MW-000230_GWHDPRW00000000/GWHDPRW00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.3_P10K_P10K-MW-000230_GWHDPRW00000000/GWHDPRW00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.3_P10K_P10K-MW-000230_GWHDPRW00000000/GWHDPRW00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.3_P10K_P10K-MW-000230_GWHDPRW00000000/GWHDPRW00000000.Protein.faa.gz		
Litonotus sp.4 P10K	P10K-MW-000232	SAMC2820799	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.4_P10K_P10K-MW-000232_GWHDPRY00000000/GWHDPRY00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.4_P10K_P10K-MW-000232_GWHDPRY00000000/GWHDPRY00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.4_P10K_P10K-MW-000232_GWHDPRY00000000/GWHDPRY00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.4_P10K_P10K-MW-000232_GWHDPRY00000000/GWHDPRY00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Litonotus_sp.4_P10K_P10K-MW-000232_GWHDPRY00000000/GWHDPRY00000000.Protein.faa.gz		
Loxophyllum sp.1 P10K	P10K-MW-000406	SAMC2820973	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.1_P10K_P10K-MW-000406_GWHDPYQ00000000/GWHDPYQ00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.1_P10K_P10K-MW-000406_GWHDPYQ00000000/GWHDPYQ00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.1_P10K_P10K-MW-000406_GWHDPYQ00000000/GWHDPYQ00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.1_P10K_P10K-MW-000406_GWHDPYQ00000000/GWHDPYQ00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Loxophyllum_sp.1_P10K_P10K-MW-000406_GWHDPYQ00000000/GWHDPYQ00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889593/CRR889593_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889593/CRR889593_r2.fq.gz
Arcuospathidium muscorum strain P10K-1	P10K-MW-000435	SAMC2821002	https://download.cncb.ac.cn/gwh/Protists/Arcuospathidium_muscorum_strain_P10K-1_P10K-MW-000435_GWHDPZT00000000/GWHDPZT00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Arcuospathidium_muscorum_strain_P10K-1_P10K-MW-000435_GWHDPZT00000000/GWHDPZT00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Arcuospathidium_muscorum_strain_P10K-1_P10K-MW-000435_GWHDPZT00000000/GWHDPZT00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Arcuospathidium_muscorum_strain_P10K-1_P10K-MW-000435_GWHDPZT00000000/GWHDPZT00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Arcuospathidium_muscorum_strain_P10K-1_P10K-MW-000435_GWHDPZT00000000/GWHDPZT00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889622/CRR889622_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889622/CRR889622_r2.fq.gz
Dileptus costaricanus strain P10K-1	P10K-MW-000439	SAMC2821006	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-1_P10K-MW-000439_GWHDPZX00000000/GWHDPZX00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-1_P10K-MW-000439_GWHDPZX00000000/GWHDPZX00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-1_P10K-MW-000439_GWHDPZX00000000/GWHDPZX00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-1_P10K-MW-000439_GWHDPZX00000000/GWHDPZX00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-1_P10K-MW-000439_GWHDPZX00000000/GWHDPZX00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889626/CRR889626_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889626/CRR889626_r2.fq.gz
Rurikoplites longitrichus strain P10K-1	P10K-MW-000473	SAMC2821040	https://download.cncb.ac.cn/gwh/Protists/Rurikoplites_longitrichus_strain_P10K-1_P10K-MW-000473_GWHDQBF00000000/GWHDQBF00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Rurikoplites_longitrichus_strain_P10K-1_P10K-MW-000473_GWHDQBF00000000/GWHDQBF00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Rurikoplites_longitrichus_strain_P10K-1_P10K-MW-000473_GWHDQBF00000000/GWHDQBF00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Rurikoplites_longitrichus_strain_P10K-1_P10K-MW-000473_GWHDQBF00000000/GWHDQBF00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Rurikoplites_longitrichus_strain_P10K-1_P10K-MW-000473_GWHDQBF00000000/GWHDQBF00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889660/CRR889660_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889660/CRR889660_r2.fq.gz
Spathidiidae sp.10 P10K	P10K-MW-000481	SAMC2821048	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.10_P10K_P10K-MW-000481_GWHDQBN00000000/GWHDQBN00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.10_P10K_P10K-MW-000481_GWHDQBN00000000/GWHDQBN00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.10_P10K_P10K-MW-000481_GWHDQBN00000000/GWHDQBN00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.10_P10K_P10K-MW-000481_GWHDQBN00000000/GWHDQBN00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.10_P10K_P10K-MW-000481_GWHDQBN00000000/GWHDQBN00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889668/CRR889668_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889668/CRR889668_r2.fq.gz
Enchelyodon sp.1 P10K	P10K-MW-000509	SAMC2821076	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.1_P10K_P10K-MW-000509_GWHDQCP00000000/GWHDQCP00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.1_P10K_P10K-MW-000509_GWHDQCP00000000/GWHDQCP00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.1_P10K_P10K-MW-000509_GWHDQCP00000000/GWHDQCP00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.1_P10K_P10K-MW-000509_GWHDQCP00000000/GWHDQCP00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.1_P10K_P10K-MW-000509_GWHDQCP00000000/GWHDQCP00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889696/CRR889696_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889696/CRR889696_r2.fq.gz
Enchelyodon sp.2 P10K	P10K-MW-000510	SAMC2821077	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.2_P10K_P10K-MW-000510_GWHDQCQ00000000/GWHDQCQ00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.2_P10K_P10K-MW-000510_GWHDQCQ00000000/GWHDQCQ00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.2_P10K_P10K-MW-000510_GWHDQCQ00000000/GWHDQCQ00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.2_P10K_P10K-MW-000510_GWHDQCQ00000000/GWHDQCQ00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Enchelyodon_sp.2_P10K_P10K-MW-000510_GWHDQCQ00000000/GWHDQCQ00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889697/CRR889697_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889697/CRR889697_r2.fq.gz
